UN/EDIFACT,DOCAMA,Advice of an amendment of a documentary credit message
UN/EDIFACT,CONAPW,Advice on pending works message
UN/EDIFACT,RETANN,Announcement for returns message
UN/EDIFACT,APERAK,Application error and acknowledgement message
UN/EDIFACT,IFTMAN,Arrival notice message
UN/EDIFACT,AUTHOR,Authorization message
UN/EDIFACT,BALANC,Balance message
UN/EDIFACT,BOPCUS,Balance of payment customer transaction report message
UN/EDIFACT,BOPINF,Balance of payment information from customer message
UN/EDIFACT,BOPBNK,Bank transactions and portfolio transactions report message
UN/EDIFACT,BANSTA,Banking status message
UN/EDIFACT,BAPLIE,Bayplan/stowage plan occupied and empty locations message
UN/EDIFACT,BERMAN,Berth management message
UN/EDIFACT,IFTMBC,Booking confirmation message
UN/EDIFACT,BMISRM,Bulk marine inspection summary report message
UN/EDIFACT,BUSCRD,Business credit report message
UN/EDIFACT,IFTICL,Cargo insurance claims message
UN/EDIFACT,HANMOV,Cargo/goods handling and movement message
UN/EDIFACT,CHACCO,Chart of accounts message
UN/EDIFACT,CLASET,Classification information set message
UN/EDIFACT,COACSU,Commercial account summary message
UN/EDIFACT,COMDIS,Commercial dispute message
UN/EDIFACT,IFTMCA,Consignment advice message
UN/EDIFACT,COPARN,Container announcement message
UN/EDIFACT,COPRAR,Container discharge/loading order message
UN/EDIFACT,COARRI,Container discharge/loading report message
UN/EDIFACT,CODECO,Container gate-in/gate-out report message
UN/EDIFACT,COPINO,Container pre-notification message
UN/EDIFACT,COREOR,Container release order message
UN/EDIFACT,COHAOR,Container special handling order message
UN/EDIFACT,COSTCO,Container stuffing/stripping confirmation message
UN/EDIFACT,COSTOR,Container stuffing/stripping order message
UN/EDIFACT,CNTCND,Contractual conditions message
UN/EDIFACT,COPAYM,Contributions for payment
UN/EDIFACT,CREADV,Credit advice message
UN/EDIFACT,RECECO,Credit risk cover message
UN/EDIFACT,CUSCAR,Customs cargo report message
UN/EDIFACT,CUSREP,Customs conveyance report message
UN/EDIFACT,CUSDEC,Customs declaration message
UN/EDIFACT,CUSEXP,Customs express consignment declaration message
UN/EDIFACT,CUSRES,Customs response message
UN/EDIFACT,IFTDGN,Dangerous goods notification message
UN/EDIFACT,DGRECA,Dangerous goods recapitulation message
UN/EDIFACT,DMRDEF,Data maintenance request definition message
UN/EDIFACT,DMSTAT,Data maintenance status report/query message
UN/EDIFACT,DAPLOS,Data Plot Sheet
UN/EDIFACT,DEBADV,Debit advice message
UN/EDIFACT,DEBREC,Debts recovery message
UN/EDIFACT,DELJIT,Delivery just in time message
UN/EDIFACT,DELFOR,Delivery schedule message
UN/EDIFACT,DESADV,Despatch advice message
UN/EDIFACT,BOPDIR,Direct balance of payment declaration message
UN/EDIFACT,DIRDEB,Direct debit message
UN/EDIFACT,CONDPV,Direct payment valuation message
UN/EDIFACT,DIRDEF,Directory definition message
UN/EDIFACT,DOCADV,Documentary credit advice message
UN/EDIFACT,DOCAMI,Documentary credit amendment information message
UN/EDIFACT,DOCAPP,Documentary credit application message
